发布时间,PA,PE,PD,PH,PG,PB,PK,NA,NB,NJ,NH,PF,NI,NC,NG,NE,ND,NN,NK,NL,PC,topic
2020-02-21,1181,1107,792,15202,1828,1799,568,0,873,43,72,459,290,16687,0,9152,1152,2942,0,273,241,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-02-22,2994,2951,2088,71872,5928,2437,1545,0,2103,751,27,726,1030,133056,12,2642,1328,17408,0,16849,533,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-02-23,132,164,75,2169,179,116,74,0,531,5,4,66,80,1173,0,544,807,2233,2,50,400,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-02-24,2992,2570,10,14318,2276,1384,1288,0,77,776,1,991,374,4221,1805,1360,1127,12007,0,387,0,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-02-25,872,1983,777,17525,2700,1181,748,0,1217,380,9,354,623,22252,0,1495,486,3812,1,3283,610,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-02-26,772,316,800,18379,8933,249,254,0,293,70,15,94,70,10867,16,172,934,1671,63,166,72,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-02-27,2134,612,1876,10454,1902,1984,606,0,776,243,15,432,444,5805,99,1023,704,2715,0,1387,177,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-02-28,37742,1000,25150,66900,38006,12409,124,0,232,279,262,196,134,4215,0,598,116,1721,0,377,249,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-02-29,536,1813,261,18907,1249,1255,1242,0,1299,294,61,190,76,14872,14,1004,589,7711,0,3303,580,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-03-01,2049,406,545,23261,826,1345,951,0,1775,316,100,268,297,42708,0,2035,1448,2914,0,6359,31,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-03-02,131,171,218,871,196,35,54,0,14,5,0,29,18,358,3,16,11,91,0,29,2,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-03-03,245,275,809,3079,206,278,101,0,642,14,3,633,27,371,0,30,17,1979,0,40,6,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-03-04,1851,5496,18631,54971,19684,10520,449,0,13711,150,37,434,172,5264,0,1835,676,30425,0,1315,247,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-03-05,290,45,455,1966,465,66,35,0,44,6,1,8,41,509,0,96,77,355,0,96,32,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-03-06,2145,5939,18631,57017,11398,10966,444,0,13519,100,22,243,94,7519,0,2107,486,20660,0,1973,248,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-03-07,546,178,326,2507,216,89,159,0,154,60,22,31,66,1326,0,165,124,903,0,448,13,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-03-08,11625,17350,605,95482,18920,8215,11019,0,652,1750,65,2010,6031,35921,0,1526,589,16906,0,1767,110,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-03-09,3200,2078,3536,24931,2321,2753,5125,0,1390,77,20,898,1125,17700,12,1262,9649,7793,14,5343,244,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-03-10,84,29,41,831,102,80,456,0,313,0,49,34,392,229,0,922,2,35,0,13,40,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-03-11,666,227,1048,5135,213,1854,214,0,75,41,16,90,89,2697,0,81,74,424,0,762,14,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-03-12,5549,4419,5061,26277,717,9231,4877,0,770,465,1279,233,267,19789,1,588,1360,6204,0,295,7,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-03-13,10457,5037,5633,40994,4427,3017,1119,0,3055,432,18,2726,3339,25230,0,4700,1897,20081,0,5048,761,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-03-14,5600,90,2453,11842,336,121,268,0,1909,28,16,80,372,9105,0,379,60,10531,0,1446,21,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-03-15,394,55,134,1042,231,306,113,0,104,21,48,65,116,1008,0,163,142,387,0,43,13,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-03-16,5515,135,2481,9414,321,150,287,0,2095,26,19,83,390,4035,0,396,66,10705,0,861,32,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-03-17,4792,1675,3091,24315,867,5468,1565,0,799,176,117,1130,1235,27223,1,1261,1189,3142,0,3022,194,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-03-18,28844,28666,359,60228,406,270,82,0,198,46,701,50,120,3021,0,240,1038,1111,0,783,105,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
